0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1830.8,1118.9,1021.5,678.6,110.7,1078.2,291.3,1060.5,663.0,674.9,0.0,208.6,492.1,690.5,243.5,575.0,1012.1,406.3,1157.1,990.6,178.1,387.4,1525.7,1097.8,1118.8,1542.0,575.2,6367.9,7780.5,8075.9,5932.9,7546.1,2434.8,2495.8,1717.5,3129.3,30259.4,9491.5,9632.6,7146.6,7098.2,6846.5,20854.0,9907.0,17868.9,14813.2,5321.5,5321.0,14522.2,661.0
1633.1,968.9,823.8,538.4,265.1,921.0,141.3,971.2,465.3,502.1,212.6,0.0,294.4,617.9,150.1,377.3,922.8,208.6,1007.1,792.9,210.9,443.2,1475.5,1058.2,968.8,1363.6,458.9,6170.2,7582.8,7878.2,5735.2,7348.4,2237.1,2298.1,1519.8,2931.6,30219.8,9451.9,9593.0,7107.0,7058.6,6806.9,20656.3,9867.4,17829.3,14773.6,5281.9,5281.4,14482.6,537.6
1389.0,842.6,579.7,524.2,524.4,676.9,265.0,973.9,282.3,303.6,478.1,298.3,0.0,422.3,379.3,133.2,924.4,143.8,880.8,548.8,502.0,637.1,1349.2,1060.9,842.5,1170.7,518.8,5926.1,7338.7,7634.1,5491.1,7104.3,1993.0,2054.0,1275.7,2687.5,30222.5,9454.6,9595.7,7109.7,7061.3,6809.6,20412.2,9870.1,17832.0,14776.3,5284.6,5284.1,14485.3,337.8
1195.0,1133.5,385.7,815.1,618.9,451.5,608.2,1264.8,544.8,535.9,644.8,603.8,422.5,0.0,722.5,313.6,1215.3,487.0,1171.7,354.8,767.5,980.3,1640.1,1351.8,1133.4,1245.7,862.0,5732.1,7144.7,7440.1,5297.1,6910.3,1799.0,1860.0,1081.7,2493.5,30513.4,9745.5,9886.6,7400.6,7352.2,7100.5,20218.2,10161.0,18122.9,15067.2,5575.5,5575.0,14776.2,114.2
1755.5,970.4,946.2,515.7,351.5,1043.4,216.0,833.3,587.7,597.2,301.4,244.4,416.8,788.8,0.0,499.7,784.9,331.0,1015.4,915.3,167.3,293.1,1338.9,911.0,995.9,1464.3,363.9,6292.6,7705.2,8000.6,5857.6,7470.8,2359.5,2420.5,1642.2,3054.0,30072.6,9304.7,9445.8,6959.8,6911.4,6659.7,20778.7,9720.2,17682.1,14626.4,5134.7,5134.2,14335.4,704.3
1309.7,842.9,500.4,524.5,584.5,597.6,306.1,974.2,231.2,241.5,519.2,339.4,137.7,343.0,420.4,0.0,924.7,184.9,881.1,469.5,543.1,678.2,1349.5,1061.2,842.8,1108.6,559.9,5846.8,7259.4,7554.8,5411.8,7025.0,1913.7,1974.7,1196.4,2608.2,30222.8,9454.9,9596.0,7110.0,7061.6,6809.9,20332.9,9870.4,17832.3,14776.6,5284.9,5284.4,14485.6,258.5
2097.0,339.5,1438.8,523.6,1084.3,1536.0,909.8,101.8,880.8,942.8,1074.1,956.9,951.5,1270.6,869.6,992.3,0.0,921.8,332.8,1407.9,904.0,728.3,806.0,483.2,489.3,1320.6,555.8,6468.6,7881.2,8176.6,6033.6,7646.8,2220.5,2281.5,2134.8,3546.6,29562.9,8871.5,9084.8,6598.8,6401.7,6150.0,20724.2,9210.5,17248.9,14193.2,4773.7,4773.2,13974.4,1190.3
1531.6,877.8,722.3,449.5,399.6,819.5,121.2,882.3,318.3,355.1,334.3,154.5,192.9,564.9,235.5,275.8,833.9,0.0,916.0,691.4,358.2,493.3,1384.4,969.3,877.7,1216.6,375.0,6068.7,7481.3,7776.7,5633.7,7246.9,2123.6,2184.6,1418.3,2830.1,30130.9,9363.0,9504.1,7018.1,6969.7,6718.0,20554.8,9778.5,17740.4,14684.7,5193.0,5192.5,14393.7,480.4
1928.4,93.7,1368.8,579.5,1183.8,1466.0,934.5,315.6,810.8,872.8,1131.4,967.8,881.5,1200.6,979.6,922.3,363.5,883.0,0.0,1337.9,1100.5,927.5,551.8,690.7,211.5,1152.0,685.1,6300.0,7712.6,8008.0,5865.0,7478.2,2051.9,2112.9,2064.8,3414.0,29382.5,8691.1,9128.1,6642.1,6221.3,5969.6,20555.6,9030.1,17068.5,14012.8,4749.9,4749.4,14017.7,1120.3
916.2,1298.7,106.9,980.3,958.9,131.3,761.9,1430.0,687.0,678.1,975.0,795.2,593.5,392.1,876.2,455.8,1380.5,640.7,1336.9,0.0,998.9,1134.0,1805.3,1517.0,1298.6,1160.6,1015.7,5453.3,6865.9,7161.3,5018.3,6631.5,1520.2,1581.2,802.9,2214.7,30678.6,9910.7,10051.8,7565.8,7517.4,7265.7,19939.4,10326.2,18288.1,15232.4,5740.7,5740.2,14941.4,452.3
1794.5,1064.9,985.2,585.0,224.6,1082.4,255.0,930.3,620.3,624.7,174.5,189.3,455.8,748.6,114.3,538.7,881.9,370.0,1103.1,954.3,0.0,318.5,1423.7,995.8,1064.8,1491.8,460.9,6331.6,7744.2,8039.6,5896.6,7509.8,2398.5,2459.5,1681.2,3093.0,30157.4,9389.5,9530.6,7044.6,6996.2,6744.5,20817.7,9805.0,17766.9,14711.2,5219.5,5219.0,14420.2,681.9
1945.5,911.1,1136.2,556.9,415.2,1233.4,406.0,768.9,771.3,775.7,396.3,412.3,606.8,978.8,269.8,689.7,725.6,521.0,956.1,1105.3,231.1,0.0,1209.5,781.6,1044.9,1547.2,416.2,6482.6,7895.2,8190.6,6047.6,7660.8,2454.2,2515.2,1832.2,3244.0,29943.2,9175.3,9316.4,6830.4,6782.0,6530.3,20957.9,9590.8,17552.7,14497.0,5005.3,5004.8,14206.0,894.3
1984.8,633.5,1826.8,1037.5,1549.2,1924.0,1392.5,759.7,1268.8,1330.8,1539.4,1425.8,1339.5,1658.6,1413.0,1380.3,873.0,1341.0,542.6,1795.9,1382.6,1193.2,0.0,739.6,572.8,1242.9,1177.8,6356.4,7769.0,8064.4,5921.4,7534.6,2108.3,2169.3,2290.2,3470.4,29036.2,8344.8,8995.2,6509.2,5875.0,5623.3,20612.0,8683.8,16722.2,13666.5,4403.6,4403.1,13849.1,1578.3
2376.6,791.7,1567.3,680.5,1055.7,1664.5,952.9,440.9,1009.3,1070.4,1045.9,1047.1,1080.0,1399.1,919.5,1120.8,538.7,1046.8,714.0,1536.4,889.1,699.7,742.5,0.0,910.5,1692.6,692.4,6847.7,8260.3,8555.7,6412.7,8025.9,2599.6,2660.6,2263.3,3675.1,29476.2,8709.8,8850.9,6364.9,6315.0,6063.3,21103.3,9123.8,17087.2,14031.5,4539.8,4539.3,13740.5,1318.8
1753.7,214.2,1339.2,549.9,1154.2,1436.4,904.9,470.1,781.2,843.2,1101.8,938.2,851.9,1171.0,950.0,892.7,448.4,853.4,226.3,1308.3,1075.2,1008.2,588.8,851.5,0.0,977.3,690.2,6125.3,7537.9,7833.3,5690.3,7303.5,1877.2,1938.2,2035.2,3239.3,29501.1,8809.7,9320.3,6834.3,6339.9,6088.2,20380.9,9148.7,17187.1,14131.4,4868.5,4868.0,14209.9,1090.7
836.5,1087.9,1122.8,1040.9,1476.7,1211.9,1198.3,1290.6,831.3,766.0,1411.4,1231.6,1081.1,1165.4,1270.8,988.7,1271.2,1101.3,1126.1,1080.6,1401.6,1478.7,1265.3,1577.6,964.7,0.0,1155.0,5208.1,6620.7,6916.1,4773.1,6386.3,960.0,1021.0,1141.9,2322.1,29971.3,9279.9,10112.4,7626.4,6810.1,6558.4,19463.7,9618.9,17657.3,14601.6,5338.7,5338.2,14784.2,1149.4
1923.9,628.5,1114.6,186.4,651.0,1211.8,425.2,560.9,562.0,623.1,600.9,506.7,585.2,951.8,390.3,668.1,512.5,461.0,673.5,1083.7,461.5,389.9,1072.5,644.6,704.3,1245.3,0.0,6400.4,7813.0,8108.4,5965.4,7578.6,2152.3,2213.3,1810.6,3222.4,29806.2,9038.3,9179.4,6693.4,6645.0,6393.3,20656.0,9453.8,17415.7,14360.0,4868.3,4867.8,14069.0,871.5
4927.8,6152.9,5486.8,6137.9,6430.0,5593.9,6233.0,6355.6,5928.3,5863.0,6446.1,6266.3,6064.6,5863.2,6347.3,5926.9,6336.2,6111.8,6191.1,5568.5,6470.0,6575.7,6271.5,6674.6,6029.7,5097.0,6252.0,0.0,3028.2,2831.5,1182.4,2301.7,4328.7,4315.3,4825.9,3578.4,33177.7,12486.3,14277.4,11791.4,10016.5,9592.4,17816.2,12825.3,20863.7,17808.0,8545.1,8544.6,17990.6,5923.4
