0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2306.3,223399.3,8280.9,2204.0,1929.2,2231.2,2186.5,1765.7,2128.8,858.2,0.0,2035.9,1551.3,2157.7,1867.8,2572.4,2168.8,2047.4,2198.4,2019.4,2011.9,8040.6,1139.8,2392.8,2552.4,8438.4,21349.1,16401.8,13486.0,1413.7,13651.5,438.1,13283.8,21994.6,1540.5,2144.9,1996.5,8048.5,8013.3,9264.2,18087.7,3337.8,1760.8,1920.7,2164.9,1677.6,4360.1,4366.7,7892.2
1227.8,224930.8,7367.9,601.4,391.7,393.0,696.0,885.6,691.4,1219.3,2049.5,0.0,604.7,667.2,787.3,829.1,338.4,556.9,664.6,252.1,573.5,7127.6,1293.6,534.6,1201.0,7525.4,20666.6,17856.8,14941.0,1061.0,14632.9,1607.8,13426.9,23449.6,672.8,830.2,84.2,7135.5,7100.3,9407.3,19619.2,3480.9,765.5,715.1,878.4,797.9,5891.6,5898.2,6979.2
1797.3,224426.7,7804.3,712.6,486.1,788.1,695.1,613.9,648.9,748.0,1578.2,605.1,0.0,666.3,603.1,1233.2,725.7,556.0,707.0,576.3,520.5,7564.0,819.0,949.7,1607.7,7961.8,20872.5,17382.2,14466.4,586.4,14158.3,1136.5,12952.3,22975.0,83.7,807.9,675.0,7571.9,7536.7,8932.7,19115.1,3006.3,426.1,588.3,827.9,405.6,5387.5,5394.1,7415.6
1722.9,224916.9,7863.0,167.6,366.7,692.7,104.7,539.1,96.7,1352.3,2172.5,647.0,653.8,0.0,386.5,1158.8,641.3,168.9,116.6,491.7,178.5,7622.7,1279.7,787.7,1533.3,8020.5,21161.7,17842.9,14927.1,1047.1,14619.0,1740.8,13413.0,23435.7,721.9,234.5,729.5,7630.6,7595.4,9393.4,19605.3,3467.0,462.0,320.4,306.5,513.9,5877.7,5884.3,7474.3
1907.0,224594.5,8047.1,554.7,538.5,897.8,523.3,173.3,404.6,1256.2,1850.1,831.1,613.5,490.0,0.0,1342.9,835.4,397.3,535.2,686.0,373.5,7806.8,957.3,1059.4,1717.4,8204.6,21345.8,17520.5,14604.7,724.7,14296.6,1641.4,13090.6,23113.3,656.9,463.9,913.6,7814.7,7779.5,9071.0,19282.9,3144.6,225.4,199.8,483.9,237.7,5555.3,5561.9,7658.4
689.1,224586.9,6785.1,1045.1,910.0,612.4,1136.0,1403.9,1209.7,1834.4,2512.1,826.2,1235.3,1168.6,1305.6,0.0,568.2,1075.2,1108.3,698.8,1091.8,6544.8,1928.8,550.8,417.8,6942.6,20127.9,18492.0,15576.2,1696.2,15268.1,2070.4,14062.1,24084.8,1307.5,1273.9,805.7,6552.7,6517.5,10042.5,20207.3,4116.1,1283.8,1233.4,1281.0,1336.6,6479.7,6486.3,6396.4
1121.4,225019.2,7261.5,493.3,415.7,70.8,584.2,909.6,702.1,1340.1,2170.3,335.6,741.0,616.8,811.3,557.3,0.0,580.9,556.5,204.5,597.5,7021.2,1434.5,273.8,931.8,7419.0,20560.2,17997.7,15081.9,1201.9,14773.8,1728.6,13567.8,23590.5,813.2,722.1,308.3,7029.1,6993.9,9548.2,19760.1,3621.8,789.5,739.1,729.2,842.3,6032.5,6039.1,6872.8
1659.2,224822.9,7799.3,223.0,290.7,650.0,205.5,448.0,170.9,1220.3,2050.5,583.3,521.8,176.7,302.6,1095.1,587.6,0.0,217.4,438.2,53.5,7559.0,1185.7,811.6,1469.6,7956.8,21098.0,17748.9,14833.1,953.1,14525.0,1608.8,13319.0,23341.7,589.9,338.5,665.8,7566.9,7531.7,9299.4,19511.3,3373.0,370.9,230.4,360.9,422.8,5783.7,5790.3,7410.6
1668.6,224958.7,7808.7,120.7,312.4,645.8,58.3,565.9,146.9,1353.9,2184.1,592.7,655.4,56.6,440.7,1104.5,594.4,174.9,0.0,437.7,210.8,7568.4,1321.5,741.3,1479.0,7966.2,21107.4,17884.7,14968.9,1088.9,14660.8,1742.4,13454.8,23477.5,723.5,245.0,675.2,7576.3,7541.1,9435.2,19647.1,3508.8,511.9,374.6,314.2,563.8,5919.5,5926.1,7420.0
1319.1,224910.8,7459.2,464.5,254.8,309.9,559.1,748.7,554.5,1179.2,2009.4,218.7,580.1,530.3,650.4,755.0,247.5,420.0,527.7,0.0,436.6,7218.9,1273.6,471.5,1129.5,7616.7,20757.9,17836.8,14921.0,1041.0,14612.9,1567.7,13406.9,23429.6,652.3,693.3,301.2,7226.8,7191.6,9387.3,19599.2,3460.9,628.6,578.2,739.5,681.4,5871.6,5878.2,7070.5
